Title,Album,main_emotion
"​thank u, next","thank u, next",Love
7 rings,"thank u, next",Happy
​God is a woman,Sweetener,Angry
Side To Side,Dangerous Woman,Sad
​​no tears left to cry,Sweetener,Angry
​​breathin,Sweetener,Sad
"​break up with your girlfriend, i’m bored","thank u, next",Angry
​positions,Positions,Angry
34+35,Positions,Calm
​imagine,"thank u, next",Angry
​needy,"thank u, next",Angry
​pov,Positions,Angry
​ghostin,"thank u, next",Angry
​pete davidson,Sweetener,Sad
​in my head,"thank u, next",Sad
​sweetener,Sweetener,Sad
​R.E.M.,Sweetener,Angry
NASA,"thank u, next",Angry
Dangerous Woman,Dangerous Woman,Love
Let Me Love You,Dangerous Woman,Happy
​bloodline,"thank u, next",Angry
Into You,Dangerous Woman,Love
​fake smile,"thank u, next",Sad
​goodnight n go,Sweetener,Happy
​the light is coming,Sweetener,Angry
One Last Time,My Everything,Happy
​bad idea,"thank u, next",Happy
​better off,Sweetener,Sad
​make up,"thank u, next",Angry
​get well soon,Sweetener,Happy
The Way,Yours Truly,Angry
Problem,My Everything,Angry
​everytime,Sweetener,Sad
Focus,Dangerous Woman,Sad
Everyday,Dangerous Woman,Sad
Moonlight,Dangerous Woman,Angry
​just like magic,Positions,Love
​raindrops (an angel cried),Sweetener,Calm
​nasty,Positions,Happy
​successful,Sweetener,Sad
Be Alright,Dangerous Woman,Happy
​safety net,Positions,Love
​shut up,Positions,Happy
​obvious,Positions,Angry
​my hair,Positions,Love
​love language,Positions,Angry
​six thirty,Positions,Sad
Break Free,My Everything,Sad
My Everything,My Everything,Angry
34+35 (Remix),Positions (Deluxe),Calm
​borderline,Sweetener,Sad
Touch It,Dangerous Woman,Angry
Greedy,Dangerous Woman,Sad
​blazed,Sweetener,Sad
Right There,Yours Truly,Angry
Thinking Bout You,Dangerous Woman,Angry
Just a Little Bit of Your Heart,My Everything,Calm
​west side,Positions,Angry
Sometimes,Dangerous Woman,Sad
Honeymoon Avenue,Yours Truly,Sad
Leave Me Lonely,Dangerous Woman,Angry
Santa Tell Me,Christmas Kisses EP,Angry
I Don’t Care,Dangerous Woman,Happy
Knew Better / Forever Boy,Dangerous Woman,Angry
Break Your Heart Right Back,My Everything,Angry
Bad Decisions,Dangerous Woman,Angry
Knew Better Part Two,,Angry
Tattooed Heart,Yours Truly,Sad
Jason’s Song (Gave It Away),Dangerous Woman,Angry
How I Look on You,Charlie’s Angels (Original Motion Picture Soundtrack),Sad
True Love,Christmas & Chill,Angry
Daydreamin’,Yours Truly,Angry
Baby I,Yours Truly,Angry
Be My Baby,My Everything,Angry
Why Try,My Everything,Angry
December,Christmas & Chill,Angry
7 rings (Remix),"thank u, next (Japanese Import)",Happy
Wit It This Christmas,Christmas & Chill,Angry
Hands on Me,My Everything,Angry
Only 1,My Everything,Angry
Step on Up,Dangerous Woman,Angry
They Don’t Know,Trolls (Original Motion Picture Soundtrack) ,Sad
You’ll Never Know,Yours Truly,Calm
Winter Things,Christmas & Chill,Happy
Piano,Yours Truly,Sad
Santa Baby,Christmas Kisses EP,Sad
Intro (C&C),Christmas & Chill,Love
You Don’t Know Me,My Everything,Sad
Lovin’ It,Yours Truly,Angry
Baby Loves (Intro),Unreleased Songs,Angry
Better Left Unsaid,Yours Truly,Sad
Last Christmas,Christmas Kisses EP,Angry
Not Just On Christmas,Christmas & Chill,Angry
Into You (Alex Ghenea Remix),,Energetic
Ridiculous,Unreleased Songs,Angry
Intro,My Everything,Angry
​reMeMber,Unreleased Songs,Sad
Snow In California,Christmas Kisses EP,Angry
Too Close,My Everything,Angry
Pink Champagne,Unreleased Songs,Sad
Cadillac Song,My Everything,Happy
Nobody Does It Better,Unreleased Songs,Sad
The Way (Spanglish Version),Yours Truly,Angry
​jada,,Calm
Put Your Hearts Up,,Angry
Hope Is The Song,,Calm
Somewhere Over the Rainbow (Live From Manchester),One Love Manchester,Happy
Bad to You (Demo),Unreleased Songs,Sad
Zero to Hero (From ”Hercules”),We Love Disney ,Sad
My Way,Unreleased Songs,Sad
Boyfriend Material,Unreleased Songs,Happy
Voodoo Love,Unreleased Songs,Angry
Brand New You,13 (Original Broadway Cast Recording),Sad
Love Is Everything,Christmas Kisses EP,Angry
The Wizard and I (Live),Wicked (15th Anniversary Special Edition),Angry
The Way (Fabolous Remix),,Angry
Still Hurting,Coming From Inside The House (A Virtual SubCulture Concert),Calm
Sober,Unreleased Songs,Sad
Higher,Unreleased Songs,Sad
Close to You,Unreleased Songs,Calm
​my heart belongs to daddy (live),​k bye for now (swt live),Angry
Die In Your Arms [Justin Bieber],,Happy
Do You Love Me?,Unreleased Songs,Angry
Emotions [Mariah Carey cover],,Angry
The Way (Spanglish Version) [feat. J Balvin],Yours Truly,Angry
Don’t Be Gone Too Long,Unreleased Songs,Angry
One Last Time (Attends-moi),Kendji,Happy
Be Alright (Demo),Unreleased Songs,Happy
All I Want for Christmas Is You,,Happy
Ariana Grande’s Tattoos,,Sad
Quit (Demo),Unreleased Songs,Calm
Ain’t About What You Got,Unreleased Songs,Sad
You’re My Only Shawty,Unreleased Songs,Angry
7 rings (live)​,​k bye for now (swt live),Sad
"​thank u, next (live)",​k bye for now (swt live),Sad
Love The Way You Lie,,Angry
"​imagine / My Favorite Things / 7 rings / thank u, next (Live at the 62nd Grammy Awards)",,Angry
Leave Me Lonely (Reprise),Ariana Grande,Love
I Won’t Say (I’m in Love),The Disney Family Singalong,Angry
La Vie En Rose,Unreleased Songs,Happy
​break your heart right back (live),​k bye for now (swt live),Angry
Problem (Spanglish Version),My Everything,Energetic
ABC,,Sad
Stick Around,Unreleased Songs,Angry
The Christmas Song (Chestnuts Roasting On An Open Fire),,Sad
​you,Unreleased Songs,Sad
I Have Nothing,Women of Soul: In Performance at the White House,Angry
"Oh, Darling",Unreleased Songs,Angry
I’ve Heard It Both Ways,Unreleased Songs,Sad
​side to side (live),​k bye for now (swt live),Sad
Sweetener World Tour Dates,Ariana Grande,Sad
Suitcase,Unreleased Songs,Happy
Unreleased Songs [Discography List],Unreleased Songs,Sad
Santa Tell Me (Dirty Version),,Angry
​hopeless romantic*,Unreleased Songs,Angry
​the light is coming (Demo),Unreleased Songs,Angry
Have Yourself A Merry Little Christmas,,Sad
Let It Rain,Unreleased Songs,Sad
​r.e.m (live),​k bye for now (swt live),Angry
​god is a woman (live),​k bye for now (swt live),Angry
​​breathin (live),​k bye for now (swt live),Sad
​bad idea (live),​k bye for now (swt live),Happy
Grenade,,Angry
​raindrops (an angel cried) [live],​k bye for now (swt live),Calm
Rollercoaster,Unreleased Songs,Love
"​break up with your girlfriend, i’m bored (live)",​k bye for now (swt live),Angry
Them Changes (BBC Radio 1 Live Lounge),BBC Radio 1's Live Lounge 2018,Angry
Not Afraid of Love,Unreleased Songs,Angry
The Way It Is,,Sad
​tattooed heart (live),​k bye for now (swt live),Happy
​successful (live),​k bye for now (swt live),Sad
Almost Is Never Enough (Soundtrack Version),The Mortal Instruments: City of Bones (Original Motion Picture Soundtrack),Angry
​goodnight n go (live),​k bye for now (swt live),Sad
​on top of everything*,Unreleased Songs,Sad
​needy (live),​k bye for now (swt live),Sad
​dangerous woman (live),​k bye for now (swt live),Sad
I Don’t Want To Be Alone For Christmas,Unreleased Songs,Angry
​be alright (live),​k bye for now (swt live),Happy
​only 1 (live),​k bye for now (swt live),Angry
​sweetener (live),​k bye for now (swt live),Sad
​love me harder (live),​k bye for now (swt live),Angry
One Last Time (Fedez Remix),,Sad
34+35 (Remix) (Clean),,Sad
​in my head interlude (live),​k bye for now (swt live),Angry
Side to Side (Slushii Remix),Side to Side (Remixes),Sad
Called My Mind*,Unreleased Songs,Sad
​everytime (live),​k bye for now (swt live),Sad
Born This Way / Express Yourself,,Calm
​nasa (live),​k bye for now (swt live),Angry
​started*,Unreleased Songs,Sad
New York Live,,Sad
​fake smile (live),​k bye for now (swt live),Sad
​make up (live),​k bye for now (swt live),Angry
​get well soon (live),​k bye for now (swt live),Happy
​break free (live),​k bye for now (swt live),Sad
​​no tears left to cry (live),​k bye for now (swt live),Angry
​you’ll never know (live),​k bye for now (swt live),Calm
Better Days - Live from One Love Manchester,One Love Manchester,Calm
​right there (live),​k bye for now (swt live),Angry
It Ain’t Right,Unreleased Songs,Angry
​the light is coming (live),​k bye for now (swt live),Angry
Feminism (Quotes),,Calm
Only Girl (In the World),,Angry
​into you (live),​k bye for now (swt live),Energetic
Stick Together,,Sad
Let Me Love You / Baby Loves,,Happy
Just For Now,,Calm
More,Unreleased Songs,Energetic
Focus (Meaning),,Happy
​lovin’ you lately,,Sad
The Way (JdB Radio Edit),,Angry
Into You (3LAU Remix),,Love
Open Letter to Fans,,Love
Bang Bang (3LAU Remix),The Remix,Sad
Break Free (Zedd’s Extended Mix),The Remix,Calm
Sweetener World Tour Costumes,Ariana Grande,Sad
Into You / Dangerous Woman Medley,,Love
I’m Every Woman/Vogue,Ariana Grande,Happy
Do It Better*,Unreleased Songs,Calm
Be Alright [Justin Bieber Cover],,Happy
Cat’s Broadway Song,Victorious Apocrypha,Angry
Right There/You’ll Never Know/Break Your Heart Right Back,Ariana Grande,Angry
Goodnight n go (live at the BBC),,Sad
In My Head (Music Video Version),,Sad
Right There (7th Heaven Radio Mix),The Remix,Angry
Rolling in the Deep,,Happy
Woman Races*,,Sad
Bad Decisions [DWT Version],,Angry
Positions (Clean),,Angry
My Sugar Coated Yeti,Unreleased Songs,Sad
Knew Better / Forever Boy [DWT Version],,Angry
Baby I (Cosmic Dawn Radio Edit),The Remix,Angry
Ariana Grande Tour Guide,Ariana Grande,Angry
Right There (Ralphi Rosario Radio),The Remix,Angry
Love Me Harder/breathin,Ariana Grande,Happy
Side to Side (Phantoms Remix),Side to Side (Remixes),Sad
Problem (Dawin Remix),The Remix,Angry
One Last Time (Gazzo Remix),The Remix,Happy
Problem (Wayne G Radio Edit),The Remix,Angry
The Honeymoon Tour Costumes,Ariana Grande,Angry
Confused,Unreleased Songs,Sad
Topless,,Sad
Far Away,,Sad
Piano (Early Version),,Sad
She Got Her Own (Demo Edit),,Sad
Open Letter Critiquing Sexism,,Energetic
Touch It (Final Fantasy Brave Exvius Remix),,Angry
One Last Time (Marshmello Remix),,Happy
Everyday [DWT Version],,Happy
Butterfly*,,Sad
"Thank u, next (Quotes)",,Angry
Love Me Harder (DJ Class Remix),The Remix,Happy
In The Moment (Demo),Unreleased Songs,Sad
Bang Bang (Dada Life Remix),The Remix,Sad
The Way (Sidney Samson Remix),The Remix,Sad
Shut It Down,,Sad
Female (Dangerous Woman Tour Visual),,Sad
Sweetener World Tour Special Guests,Ariana Grande,Sad
Problem (Solo Version),Ariana Grande,Energetic
All i want,,Angry
​love u (StarFox Remix),Love U - EP,Angry
Prelude / Be Alright [DWT Version],,Happy
Baby I (a-Director’s Cut Radio Edit),The Remix,Angry
Honesty,Unreleased Songs,Happy
Love Me Harder (Gregor Salto Amsterdam Mix),The Remix,Happy
Into You (Grey Remix),,Energetic
Love,,Angry
Breathin (SG Lewis Remix),,Sad
One Last Time [DWT Version],,Happy
Problem (Dave Aude Twerk Edit),The Remix,Angry
Close Friends,,Sad
Break Free (Avicii Remix),,Sad
